sale_start,sale_end,product_name,specification,price_ex_tax_yen,price_in_tax_yen,tax_rate,category,source_image
2026-09-18,2026-09-18,豚肉モモ しゃぶしゃぶ用・切り落とし,100g当り,129,139,0.08,精肉,351-1_15968215_1.jpg
2026-09-18,2026-09-18,クラフト 100%パルメザンチーズ,1本,399,430,0.08,日配食品,351-1_15968215_1.jpg
2026-09-18,2026-09-18,ハーブ香る若鶏フライ,100g当り,149,160,0.08,惣菜,351-1_15968215_1.jpg
2026-09-18,2026-09-18,焼き餃子,10個入,290,313,0.08,惣菜,351-1_15968215_1.jpg
2026-09-18,2026-09-18,海鮮盛り,1パック,580,626,0.08,鮮魚,351-1_15968215_1.jpg
2026-09-18,2026-09-18,若鶏レバー,100g当り,29,31,0.08,精肉,351-1_15968215_1.jpg
2026-09-12,2026-09-13,豚肉バラ切り落とし（ジャンボパック・解凍含む）,100g当り,159,171,0.08,精肉,351-1_15968215_0.jpg
2026-09-12,2026-09-13,国産 黒毛和牛 中落ちカルビ焼肉用（バラ）,100g当り,399,430,0.08,精肉,351-1_15968215_0.jpg
2026-09-12,2026-09-13,国産 黒毛和牛 肩または肩ロース ステーキ用,100g当り,599,646,0.08,精肉,351-1_15968215_0.jpg
2026-09-12,2026-09-13,アルゼンチン産 赤えび（刺身用・解凍）,100g当り,229,247,0.08,鮮魚,351-1_15968215_0.jpg
2026-09-12,2026-09-13,チリ産 トラウトサーモン（刺身用・養殖・解凍）,100g当り,349,376,0.08,鮮魚,351-1_15968215_0.jpg
2026-09-12,2026-09-13,ねぎとろ,100g当り,379,409,0.08,鮮魚,351-1_15968215_0.jpg
2026-09-12,2026-09-13,北海道産 ほたて貝柱（解凍・生食用）,100g当り,599,646,0.08,鮮魚,351-1_15968215_0.jpg
2026-09-12,2026-09-13,国産 若鶏ムネ肉,100g当り,79,85,0.08,精肉,351-1_15968215_0.jpg
2026-09-12,2026-09-13,国産 若鶏骨付きモモ（解凍）,1本,399,430,0.08,精肉,351-1_15968215_0.jpg
2026-09-12,2026-09-13,しらす干し,100g当り,299,322,0.08,鮮魚,351-1_15968215_0.jpg
2026-09-12,2026-09-13,無着色たらこ・明太子,各100g,299,322,0.08,鮮魚,351-1_15968215_0.jpg
2026-09-12,2026-09-13,真鯛（刺身用）,100g当り,499,538,0.08,鮮魚,351-1_15968215_0.jpg
2026-09-12,2026-09-13,韓国産 冷凍かき,300g入,399,430,0.08,鮮魚,351-1_15968215_0.jpg
2026-09-12,2026-09-13,鮭の炊き込みご飯弁当,1パック,390,421,0.08,惣菜,351-1_15968215_0.jpg
2026-09-16,2026-09-18,サラダ本巻セット,1パック,390,421,0.08,寿司,351-1_15968215_1.jpg
2026-09-15,2026-09-18,木内製菓 おはぎ各種,各1パック,249,268,0.08,菓子,351-1_15968215_1.jpg
2026-09-15,2026-09-18,サントリー 天然水,2L,99,106,0.08,飲料,351-1_15968215_1.jpg
2026-09-15,2026-09-18,サントリー 天然水 ケース,2L×6本,579,625,0.08,飲料,351-1_15968215_1.jpg
2026-09-15,2026-09-18,フードリエ 生ハムロース,1パック,249,268,0.08,日配食品,351-1_15968215_1.jpg
2026-09-15,2026-09-18,家族の定番 ポークウインナー,1袋,279,301,0.08,日配食品,351-1_15968215_1.jpg
2026-09-15,2026-09-18,マルちゃん正麺 中華そば,1袋,199,214,0.08,加工食品,351-1_15968215_1.jpg
2026-09-15,2026-09-18,アサヒ飲料 三ツ矢サイダー等,500ml,88,95,0.08,飲料,351-1_15968215_1.jpg
